z_q0,z_q1,z_q2,z_q3,z_q4,z_q5,z_q6,z_q7,z_q8,z_q9,z_q10,z_q11,z_q12,z_q13,z_q14,z_q15,z_q16,z_q17,z_q18,z_q19,z_q20
-1.093145767458455521e-03,-3.084171006398401908e-03,-3.585866992324030292e-04,3.391009970217538638e-03,2.419576015412692712e-04,4.696551782055380722e-03,5.605423960187618654e-03,1.006725212246140999e-03,-1.194310190658621996e-04,-1.129183403330249590e-03,2.831628230197100193e-03,-1.531705747492605532e-03,-1.377052776925261242e-03,1.727419882080561591e-03,4.924722352609173931e-03,3.239412178509701052e-03,3.235742962219797549e-03,-2.981733727895688035e-03,-2.819673864236886453e-03,-4.943242507640933231e-03,-6.493335212787867440e-03
1.152053689145210794e-02,-4.753268556341512519e-03,-1.157838657076786220e-03,3.352633687314006319e-03,-2.131677710715530489e-03,-1.432473472574069887e-02,-5.052237871748340402e-03,-1.111296288867454768e-02,-1.104052269418044629e-03,-7.538401939045691162e-03,6.213675582058243718e-03,1.594837491739995068e-03,1.278559062533875072e-03,-4.302076011533494809e-03,3.958911861307054178e-03,2.650522653714910103e-03,7.081253949758566958e-03,-4.247418688460263825e-03,-8.290321917965824683e-03,4.123763109901069815e-04,-3.535825661798624401e-03
-9.900441903896736381e-03,7.815791239854054037e-03,3.378670170592816199e-03,4.964728400597413598e-03,-9.380005805649451953e-03,-2.024884596662438439e-03,1.683055291465863738e-03,-1.387976673289536070e-02,6.544872432605109910e-03,5.519977939894933280e-03,-2.787536928363955335e-04,-2.418616787354977912e-02,-1.039792192598596419e-02,-6.489659652072181243e-04,-1.617896331259606468e-02,9.490075930780217384e-03,-1.984993231922050575e-03,-2.035666064222979793e-04,3.492530172564208999e-04,-3.997153055416242592e-03,5.814121147610020780e-03
2.089342482787287687e-04,7.200470950049458856e-04,8.787518705595295104e-04,-3.995961705267772699e-04,-1.130964717681248125e-03,4.935889149387109182e-03,-8.324802093835523623e-03,-1.291802078303894933e-03,8.301136898249285691e-04,-1.811183681350587776e-03,-1.291419785575049703e-03,-2.064521366992293910e-04,1.049407409508594600e-03,-1.212397098504219145e-04,-1.596710269725167648e-03,-1.968113153016413409e-03,3.931472730753220613e-04,1.008201253736987820e-03,3.194979944969525941e-03,-2.322574146135210696e-03,-1.092521816460168081e-04
6.133373855359548071e-03,-2.018218503728652548e-03,-5.693544588304859724e-04,-2.337140678418034561e-05,-2.395452795153229890e-03,5.714456258044562850e-04,-1.012055716656222633e-03,-3.139664207470510299e-03,5.599696987834928801e-04,-1.339405263355441080e-03,-1.078032209950088166e-03,2.290021437778595216e-03,3.060462280131951394e-03,1.280911796736292638e-04,4.741292090934166262e-05,-1.028972508252224555e-03,-3.071351991553119718e-04,-1.004535553860342548e-03,-3.622188126405085327e-03,6.084648834465648934e-04,-1.920236968932520667e-03
9.390685124274610746e-03,-2.383480233278483656e-03,-1.559657111004706612e-03,3.609871129343803636e-03,1.569833294795275943e-03,-1.626527151232778044e-03,1.901107467447071472e-04,-5.992034284655286570e-03,4.755305706813591632e-03,-5.726005720415241508e-03,5.586913080512697846e-03,7.357489128051175609e-04,-1.389177837539067300e-03,8.169067459864460656e-04,-6.214322028489678703e-05,-6.540630034322791756e-04,2.821859392885496184e-03,1.026462722825880001e-03,-1.624897272277321496e-03,-3.097629491584726232e-03,-3.178734942760344517e-03
3.301417010635793962e-03,4.174058833073517744e-03,7.192025555176733906e-03,-4.133257325848897767e-03,2.212291353011802859e-03,-5.301489986412790366e-03,-8.329045200023438983e-04,1.552394147795168591e-03,3.416296848419873508e-03,3.757124227595298217e-03,-4.951611831835154437e-03,5.556304618164571371e-04,-6.311514179367792160e-03,4.885290622713923860e-04,1.718958640523071462e-03,-4.525388570714524231e-03,6.515636713319240478e-04,-4.804498737201540193e-03,-7.579382846836617282e-03,1.068578782049228910e-03,-5.323124899671325544e-03
1.439162093021860520e-03,1.296903175994981467e-03,-4.887068282354219487e-03,2.028484435604284517e-03,-3.272484086570737107e-03,-1.450739536337187705e-04,5.608660926107157663e-03,-1.915698927479693274e-03,6.374126068798975338e-04,2.236725201955299443e-04,5.027474800781424336e-03,-6.950739857093666055e-03,4.039350323124194647e-03,1.144713532705985554e-03,-1.705511525378817107e-03,-5.270699560292527869e-03,-6.823672951604563188e-04,-1.684995167025946572e-03,2.255489693620086993e-03,-1.389381682823308392e-03,-3.895168717276655673e-03
6.985258223225253651e-04,5.703986778164048255e-03,-1.777467290285667922e-03,3.243503027599600567e-04,-5.847223837296092620e-04,5.747696002193418245e-04,2.789391777203855099e-03,2.085650772006085018e-03,-2.778947218379452470e-03,2.117004367017586482e-03,-3.155699011743468702e-04,-5.552686543376485553e-04,-3.584070953612395610e-05,-4.417256251764915386e-04,7.378190098332683758e-03,-8.306527949898048421e-03,6.152580256990871667e-03,2.139217826195410812e-03,1.988922919521465219e-03,-2.654560653148297419e-03,3.438467768346600058e-03
-3.595639027568626068e-03,1.983647456564500890e-03,-2.887132250525502840e-04,-4.592603322933568565e-03,8.000028391937994820e-04,1.907579993813202698e-03,7.293735084608048841e-04,1.772905157657263080e-03,-1.140401662896607920e-03,-7.554898892353104165e-04,-2.239055164709562173e-04,6.810901521244151421e-04,-1.313245719513373051e-02,3.875308919156178304e-06,1.653595206390243762e-03,5.321425635872530265e-04,1.405273258575799079e-03,4.726898418511768095e-04,1.825374954664921168e-03,-3.394365294663478612e-05,4.425968748937313168e-04
-4.509500260905419285e-03,2.792243869399648436e-03,2.816950579489307591e-03,1.095742202863756202e-03,-3.172275082988615554e-04,-1.227478695648563656e-03,2.320249326703580778e-03,4.275027340685530822e-04,2.873884598730381624e-04,9.093529273039246096e-04,8.143136805059247169e-04,1.890149446166918337e-03,7.618036024856626211e-04,4.854615497407829827e-03,6.657111456968515389e-04,-3.696392137430325533e-04,-7.206977096900235059e-04,1.034343904598668176e-03,2.303525627248251446e-03,-3.019975681505188483e-05,-5.148148988183820322e-03
-6.458863613187329489e-03,2.817790729198329895e-03,-9.588608605520118622e-03,4.776318880472039778e-03,2.796042473341270145e-03,-2.545667855592085617e-03,3.206801144564351818e-03,-1.249711537948603336e-03,5.752955439576512911e-03,-9.494810789827771991e-03,-5.863452092622520664e-03,2.221686720224770942e-03,3.337619603588474343e-03,-1.585796619292778728e-03,2.183873755221089679e-04,-1.060222351371174331e-03,5.493652717977638190e-03,4.756582399370689815e-03,6.467462728416236394e-03,-1.079287604534255943e-03,-3.636758900679644066e-03
2.289319122257705424e-03,-4.221370444863741661e-04,-3.137963657052753041e-03,5.525525127723402048e-03,-3.124003674544238371e-03,-4.540315832324506688e-03,-4.740511921528803990e-03,3.537176539646620741e-04,6.860438109358754644e-03,2.076445555826405415e-03,-1.199367071328324985e-04,2.460802696346852357e-03,2.394358799611950948e-03,-5.016523396595399045e-03,-2.368786953629046284e-03,3.123519508574311952e-03,1.151186877871102857e-03,-8.252813516697691263e-04,1.945275155979585150e-03,1.983367438272813643e-03,9.937244682499634090e-04
2.848657924124659707e-04,2.900719936892670603e-03,-1.300428521490356064e-03,-5.292543187102057185e-03,3.840443941110442422e-03,-1.639012638428652413e-04,9.761810012467314612e-07,2.952423835469533860e-03,-9.229407101422304818e-03,-1.272815701784729345e-03,-8.905067918779305258e-05,-6.521268031382520050e-03,1.282973311560481593e-03,6.488163180051787632e-03,-4.210705316596223546e-03,3.991257968372947810e-05,-3.938480322193949751e-03,-1.029488145561839553e-03,-2.109556259442240973e-03,4.246241379677332534e-03,-9.287707599699514954e-03
-1.022759313093845809e-03,-2.573111285936945450e-03,-2.606689563120336527e-03,1.315574606655074176e-03,-5.196584708106887981e-03,3.633073775754589591e-03,3.672799105754139849e-03,3.802073384866271229e-03,1.284729995608534063e-03,2.842818215391909598e-03,3.340625220818965388e-03,-6.927986722435262347e-03,5.292679905090861420e-04,-3.696224634198233550e-04,3.091337723903444558e-04,2.320299343946312896e-03,-7.686799708540933843e-04,-9.454802870860830495e-04,-3.729649853725652484e-03,-2.944974764756681969e-03,2.141434391606698677e-03
